,JD,JDAI,residual_aperture_sum_1,residual_aperture_sum_2,residual_aperture_sum_3,ins_mag_1,ins_mag_2,ins_mag_3,diff_mag_1,diff_mag_2,diff_mag_3
0,211843362521.088,2451890.76992,17045.86269382754,120860.90240817191,121980.38352387294,-24.35915699003028,-29.255988991113608,-29.279038799998105,4.919881809967826,0.02304980888449748,0.0
1,211843364923.008,2451890.79772,18725.793692202424,120157.11251499271,125690.86446524109,-24.594142985634026,-29.241388590936538,-29.35395178662986,4.759808800995835,0.11256319569332263,0.0
2,211843366858.368,2451890.82012,14910.494799217326,116295.95168278663,113681.19112518273,-24.02455148234253,-29.15973382159633,-29.10288310148548,5.078331619142951,-0.05685072011084813,0.0
3,211843369251.648,2451890.84782,15189.895727945957,116235.30096483172,117413.46031857998,-24.070964327616426,-29.158429680354242,-29.183642083210408,5.112677755593982,0.025212402856165994,0.0
4,211843371662.208,2451890.87572,15029.989217852999,112994.57798511238,115575.90325089754,-24.044506913429284,-29.087737785276623,-29.144206910262803,5.099699996833518,0.05646912498617951,0.0
5,211843374064.128,2451890.90352,17872.33529688517,111359.66204935336,114170.65623932407,-24.4775232053735,-29.051301102014197,-29.113623981419256,4.636100776045755,0.062322879405058984,0.0
6,211843379870.208,2451890.97072,12285.801267480594,95734.19485757756,101547.98853057541,-23.5404987651662,-28.673327066640706,-28.82071689784269,5.280218132676492,0.14738983120198412,0.0
7,211843409298.048,2451891.31132,14430.320889338036,121142.34551035776,113838.17525625619,-23.942717222935066,-29.26180385582082,-29.10633300903582,5.163615786100753,-0.15547084678500056,0.0
8,211843412892.288,2451891.35292,16654.239669199043,119936.23500224104,122230.55471703387,-24.30105024445346,-29.23678876388285,-29.284160832665304,4.983110588211844,0.04737206878245459,0.0
9,211843413125.568,2451891.35562,17092.3459217067,118925.13335336937,117783.19108970533,-24.365965088417838,-29.2156236065578,-29.191502124445524,4.825537036027686,-0.024121482112274606,0.0
10,211843416849.408,2451891.39872,11639.943133489433,125012.09054244286,121681.55240523923,-23.40549458958611,-29.34041433986621,-29.2729067123719,5.86741212278579,-0.0675076274943116,0.0
11,211843424694.528,2451891.48952,14371.09444009338,126455.66313279548,128346.02914478234,-23.932435344067233,-29.369117591613133,-29.406213120274053,5.47377777620682,0.03709552866092025,0.0
12,211843428055.488,2451891.52842,14959.097630433738,113603.89100131625,114562.82469255314,-24.03268732721985,-29.101182591136897,-29.12219659693454,5.089509269714689,0.021014005797642454,0.0
13,211843432168.128,2451891.57602,14595.416271210881,106767.3448505284,110917.33714312513,-23.97115701093973,-28.94601849731913,-29.041351231094055,5.070194220154324,0.09533273377492435,0.0
14,211843432643.328,2451891.58152,17104.65439605221,112110.90923707775,118404.8571061022,-24.367764730895637,-29.068109803343873,-29.204662558615553,4.836897827719916,0.13655275527167987,0.0
15,211843434431.808,2451891.60222,15073.527570562554,111871.56860803976,116630.16419143684,-24.051738358076214,-29.062766958616983,-29.16690804370432,5.115169685628107,0.10414108508733833,0.0
16,211843439209.728,2451891.65752,10735.61409890969,107159.87437115941,107675.50506648773,-23.203304784945104,-28.955192878273973,-28.967193501420667,5.763888716475563,0.012000623146693812,0.0
17,211843443106.368,2451891.70262,15937.753633929358,110293.79811038403,113767.31347828012,-24.191115040149786,-29.02725744048429,-29.104776329083602,4.913661288933817,0.077518888599311,0.0
18,211843451037.888,2451891.79442,15491.930063632084,118706.8085319834,120540.18279405561,-24.12018631567682,-29.211029845275466,-29.249346108739033,5.129159793062215,0.038316263463567424,0.0
19,211843456144.128,2451891.85352,13745.377036653284,114074.72851932107,118514.64722649573,-23.821144577613712,-29.111522564872484,-29.206979593014253,5.385835015400541,0.09545702814176948,0.0
20,211843464740.928,2451891.95302,9744.843445395585,79014.60736806039,75876.75332793896,-22.961233866728968,-28.193470044374504,-28.092164090515084,5.130930223786116,-0.10130595385941987,0.0
21,211843475644.608,2451892.07922,17220.348700973555,126733.88588475902,124527.66107488854,-24.384617568857188,-29.374611950780594,-29.330707868793798,4.9460902999366105,-0.04390408198679552,0.0
22,211843486937.088,2451892.20992,20949.702513634344,126483.99664440047,124813.20527467353,-24.874699313557358,-29.369677676017222,-29.33643385203901,4.461734538481654,-0.033243823978210685,0.0
23,211843487870.208,2451892.22072,4162.40717927806,37613.55679761426,36421.43568941904,-20.83462208691882,-26.337799543805914,-26.257281932155266,5.422659845236446,-0.08051761165064875,0.0
24,211843495836.288,2451892.31292,12061.399492821336,87539.18093012244,83840.61778251105,-23.494413769323614,-28.44960438544945,-28.34168217029208,4.847268400968467,-0.10792221515736955,0.0
25,211843497572.928,2451892.33302,18591.6074987888,118333.82242044131,117697.65845096111,-24.57616387033252,-29.203162282278477,-29.189685997090105,4.613522126757587,-0.013476285188371406,0.0
26,211843500182.208,2451892.36322,17265.057632987213,123512.62261669122,120920.0082283853,-24.39109986989632,-29.310246593124866,-29.257211292353915,4.866111422457596,-0.053035300770950755,0.0
27,211843504070.208,2451892.40822,21468.930853620404,131098.87983591383,135570.58443730464,-24.935905231024552,-29.45926781341701,-29.54311925506879,4.607214024044239,0.08385144165178104,0.0
28,211843505521.728,2451892.42502,16601.204429060628,124649.80657076382,119967.96144069463,-24.293076319200214,-29.333158842929073,-29.23744999530583,4.9443736761056165,-0.09570884762324283,0.0
29,211843508364.288,2451892.45792,18781.822829616838,104257.84127891628,107968.16769949452,-24.60161202582983,-28.88655588234293,-28.973979297844373,4.372367272014543,0.08742341550144417,0.0
30,211843512088.128,2451892.50102,16204.107388237142,115374.30586988991,114859.17117120652,-24.232550078919463,-29.139842388728525,-29.128655146001666,4.896105067082203,-0.01118724272685867,0.0
31,211843512917.568,2451892.51062,15729.997736491845,118397.04911918525,119805.72990230948,-24.15831213038696,-29.204497695354014,-29.234066981051168,5.075754850664207,0.029569285697153447,0.0
