"(m-M)",err(m-M),D(Mpc),Method,Refcode,Notes,SN Name,Redshift,H0,LMCModulus
18.07,0.09,0.041,Cepheids,2013A&A...550A..70G,"HV 1345, 1, VK(W), Baade-Wesselink",,,,
18.19,0.09,0.043,Cepheids,2013A&A...550A..70G,"HV 1335, 1, VK(W), Baade-Wesselink",,,,
18.30,,0.046,Cepheids,2011ApJ...741L..36M,Z,,,,
18.70,0.15,0.055,Cepheids,2013A&A...550A..70G,"HV 1328, 1, VK(W), Baade-Wesselink",,,,
18.72,,0.056,Cepheids,1994AJ....108..932S,"NGC 0330, 18, VI, overshoot",,,,
18.73,0.06,0.056,Cepheids,2013A&A...550A..70G,"6, K, Baade-Wesselink",,,,
18.75,0.12,0.056,Cepheids,2013A&A...550A..70G,"HV 837, 1, VK(W), Baade-Wesselink",,,,
18.77,,0.057,Cepheids,1987AJ.....93.1090C,,,,,
18.78,,0.057,Cepheids,1987ARA&A..25..345F,,,,,18.45
18.79,,0.057,Cepheids,1985PASAu...6..140V,,,,,
18.80,0.06,0.058,Cepheids,1988ApJ...329..712S,,,,,
18.81,0.06,0.058,Cepheids,2013A&A...550A..70G,"6, K, Baade-Wesselink, Storm et al. method",,,,
18.80,,0.058,Cepheids,2004A&A...420..655G,"6, BVIK",,,,
18.82,,0.058,Cepheids,1988ApJ...333..617M,,,,,
18.83,0.05,0.058,Cepheids,1997ApJ...491...13K,"78, UBVRIJHK +Z",,,,
18.83,0.04,0.058,Cepheids,1989ApJ...346..629V,,,,,
18.84,0.16,0.059,Cepheids,1983ApJ...274...20S,,,,,
18.84,0.02,0.059,Cepheids,2017ApJ...842..116W,"900, V",,,,18.50
18.84,0.10,0.059,Cepheids,1997AJ....113...13B,,,,,
18.85,,0.059,Cepheids,1986ApJ...301..664M,"161, B, V, NIR",,,,
18.87,0.08,0.059,Cepheids,1987ApJ...321..162W,"91, H, PL",,,,
18.88,0.01,0.060,Cepheids,2003AJ....125.1261D,FM,,,,
18.88,0.01,0.060,Cepheids,2003AJ....125.1261D,FO,,,,
18.88,0.12,0.060,Cepheids,2004A&A...415..531S,"5, BVRIJK",,,,
18.89,0.05,0.060,Cepheids,2011MNRAS.413..223M,"I or W(VI), Z corr.",,,,18.46
18.89,0.05,0.060,Cepheids,2011MNRAS.413..223M,"NIR, Ks or K, Z corr.",,,,18.46
18.89,0.01,0.060,Cepheids,2017ApJ...842..116W,"900, I",,,,18.50
18.90,,0.060,Cepheids,2011ApJ...741L..36M,,,,,
18.90,,0.060,Cepheids,2017A&A...608A..85L,"18, NIR, MIR, mean of 35 estimates",,,,
18.91,0.20,0.060,Cepheids,2010ApJ...715..277B,JK(W),,,,
18.92,,0.061,Cepheids,1994AJ....108..932S,"NGC 0330, 18, VI",,,,
18.92,0.14,0.061,Cepheids,2011A&A...534A..94S,IRSB,,,,
18.92,0.02,0.061,Cepheids,2016ApJ...816...49S,"92, 4.5 micron",,,,
18.90,0.20,0.061,Cepheids,1993ApJ...405L..51B,HV 00829,,,,
18.91,0.04,0.061,Cepheids,2003AJ....125.1261D,,,,,
18.93,,0.061,Cepheids,1999ApJ...522..250S,V +Z,,,,
18.94,0.04,0.061,Cepheids,1994MNRAS.266..441L,VHJK,,,,
18.94,,0.061,Cepheids,1999ApJ...522..250S,B +Z,,,,
18.93,0.05,0.061,Cepheids,1987ApJ...321..162W,"91, JHK, PL+PLC",,,,
18.93,0.02,0.061,Cepheids,2006ApJ...642..834K,"9, VR",,,,
18.93,0.14,0.061,Cepheids,2008MNRAS.390.1539M,VI,,,,
18.93,0.02,0.061,Cepheids,2013ApJ...764...84I,"4150, W(VIHJKs), +/- 0.10 mag syst.",,,,
18.94,0.08,0.061,Cepheids,2013ApJ...772..130M,,,,,
18.94,0.07,0.061,Cepheids,1987ApJ...321..162W,"91, K, PL",,,,
18.94,0.01,0.061,Cepheids,2011MNRAS.413..223M,I or W(VI),,,,18.46
18.94,0.01,0.061,Cepheids,2011MNRAS.413..223M,"NIR, Ks or K",,,,18.46
18.95,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, J",,,,18.50
18.95,0.12,0.062,Cepheids,2010ApJ...715..277B,VI(W),,,,
18.95,0.02,0.062,Cepheids,2012ApJ...748..107P,"53 Cepheids mean, IRAC 3.6 micron, for individual Ds see galaxy SMC 3D",,,,
18.95,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, H",,,,18.50
18.96,,0.062,Cepheids,2007A&A...476..863F,"16, W, Period-Wesenheit, Z2",,,,
18.96,0.08,0.062,Cepheids,2016AJ....151...88B,"602, JHKs, GAL PL",,,,
18.96,,0.062,Cepheids,1999ApJ...522..250S,I +Z,,,,
18.96,0.01,0.062,Cepheids,2016ApJ...816...49S,"92, BVRIJHK, 3.6 and 4.5 micron, mean of 9 wavelengths, syst. +/- 0.03 mag",,,,
18.96,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, Ks",,,,18.50
18.97,0.07,0.062,Cepheids,1986MNRAS.218..223C,"63, IR",,,,
18.97,0.02,0.062,Cepheids,2015ApJ...808...67N,"2626, VI",,,,18.49
18.97,0.01,0.062,Cepheids,2017ApJ...842..116W,both > 10d,,,,18.50
18.98,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, H , Z corr.",,,,18.50
18.98,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, I, Z corr.",,,,18.50
18.98,0.01,0.062,Cepheids,2017ApJ...842..116W,free fits mags at 10d,,,,18.50
18.98,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, Ks , Z corr.",,,,18.50
18.98,0.08,0.062,Cepheids,2007A&A...476..863F,"5, W, ISB, Z",,,,
18.98,0.09,0.062,Cepheids,1987ApJ...321..162W,"91, J, PL",,,,
18.98,0.00,0.062,Cepheids,2017ApJ...842..116W,"(0 : 100),(2.5 : 100)",,,,18.50
18.98,0.00,0.062,Cepheids,2017ApJ...842..116W,"(2.5 : 100),(2.5 : 100)",,,,18.50
18.98,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, WJKs",,,,18.50
18.98,0.02,0.062,Cepheids,2017ApJ...842..116W,"900, V, Z corr.",,,,18.50
18.98,0.01,0.062,Cepheids,2017ApJ...842..116W,"900, WJKs, Z corr.",,,,18.50
18.98,0.01,0.063,Cepheids,2017ApJ...842..116W,"900, WVI",,,,18.50
18.98,0.01,0.063,Cepheids,2017ApJ...842..116W,"900, WVI , Z corr.",,,,18.50
18.99,0.01,0.063,Cepheids,2017ApJ...842..116W,"900, J , Z corr.",,,,18.50
18.99,0.05,0.063,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
18.99,0.02,0.063,Cepheids,2016ApJ...816...49S,"92, 3.6 micron",,,,
18.99,0.03,0.063,Cepheids,2016ApJ...816...49S,"92, K",,,,
18.99,0.02,0.063,Cepheids,2016MNRAS.458.3705B,m-M = LMC +0.49,,,,
18.98,0.02,0.063,Cepheids,1997ApJ...491...13K,"78, UBVRIJHK",,,,
18.98,0.28,0.063,Cepheids,1999ApJ...512..711B,"V, PL",,,,
18.99,0.05,0.063,Cepheids,2000ApJS..128..431F,"91, JHK",,,,
18.99,0.05,0.063,Cepheids,2004ApJ...608...42S,LMC VIHJK,,,,
19.00,0.03,0.063,Cepheids,1997ApJ...486...60D,VI(BW),,,,
19.00,0.03,0.063,Cepheids,1997ApJ...486...60D,VK(BW),,,,
19.01,0.13,0.063,Cepheids,2002ApJ...574L..33B,VI,,,,
19.00,0.05,0.063,Cepheids,2016AJ....151...88B,"602, JHKs, LMC PL",,,,
19.00,,0.063,Cepheids,1988ApJ...326..691F,,,,,
19.00,0.10,0.063,Cepheids,2012AJ....144..107H,"2522, VI, individual dereddening, Sandage et al. 2004 PL",,,,
19.00,0.03,0.063,Cepheids,2016ApJ...816...49S,"92, H",,,,
19.01,0.08,0.063,Cepheids,2017MNRAS.466.3206M,"12, VI, mean",,,,
19.01,0.03,0.063,Cepheids,2016ApJ...816...49S,"92, J",,,,
19.02,0.22,0.064,Cepheids,2008MNRAS.390.1539M,VJ,,,,
19.03,0.05,0.064,Cepheids,2016AJ....151...88B,"602, JHKs, GAL+LMC PL",,,,
19.03,0.06,0.064,Cepheids,1986MNRAS.222..449L,"23, JHK, PLC",,,,
19.04,0.17,0.064,Cepheids,2000A&A...363..901G,K,,,,
19.04,0.11,0.064,Cepheids,2002ApJ...574L..33B,VI,,,,
19.04,0.06,0.064,Cepheids,1986MNRAS.222..449L,"23, JHK, PL",,,,
19.05,0.04,0.065,Cepheids,2016ApJS..224...21R,"4172, YJK",,,,18.50
19.05,0.16,0.065,Cepheids,2016AcA....66..149J,"4654 Cepheids median, VI, OGLE mean, for individual Ds see galaxy SMC 3D",,,,
19.06,0.08,0.065,Cepheids,2011AJ....142..110M,,,,,
19.05,0.13,0.065,Cepheids,2000A&A...360L...1K,DMC,,,,
19.07,0.04,0.065,Cepheids,2016ApJ...816...49S,"92, R",,,,
19.09,0.03,0.066,Cepheids,2016ApJ...816...49S,"92, I",,,,
19.09,0.02,0.066,Cepheids,1995ApJ...452..195D,"V, V-K",,,,
19.10,0.09,0.066,Cepheids,2013A&A...550A..70G,"HV 1333, 1, VK(W), Baade-Wesselink",,,,
19.11,0.11,0.066,Cepheids,2000A&A...363..901G,W,,,,
19.10,,0.066,Cepheids,2012ApJ...745..104N,,,,,
19.11,0.07,0.066,Cepheids,1985ApJ...288..182V,"13, IV, V",,,,
19.11,0.08,0.066,Cepheids,2001MNRAS.325.1353B,second overtone Cepheids,,,,
19.14,0.15,0.067,Cepheids,1999ApJ...512..711B,"K, PL",,,,
19.14,0.08,0.067,Cepheids,2013A&A...550A..70G,"HV 822, 1, VK(W), Baade-Wesselink",,,,
19.16,0.19,0.068,Cepheids,2001MNRAS.325.1353B,first overtone Cepheids,,,,
19.16,,0.068,Cepheids,1999ApJ...525..784C,BVI,,,,
19.17,0.12,0.068,Cepheids,2012AJ....144..107H,"2522, VI, area-averaged dereddening, Sandage et al. 2004 PL",,,,
19.18,,0.069,Cepheids,2007A&A...476..863F,"16, W, Period-Wesenheit, Z1",,,,
19.19,0.17,0.069,Cepheids,1999ApJ...512..711B,"V, PLC",,,,
19.20,0.04,0.069,Cepheids,2016ApJ...816...49S,"92, V",,,,
19.23,0.23,0.070,Cepheids,2010ApJ...715..277B,BV(W),,,,
19.24,0.05,0.070,Cepheids,2016ApJ...816...49S,"92, B",,,,
19.28,0.17,0.072,Cepheids,1999ApJ...512..711B,"K, PLC",,,,
17.95,0.30,0.039,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BBDS 4,,,,
17.96,0.26,0.039,CMD,2015MNRAS.453.3190B,"SMC-LMC bridge star cluster NGC 0796, dusty template",,,,
18.00,0.30,0.040,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 216,,,,
18.00,0.30,0.040,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 225,,,,
18.00,0.20,0.040,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 226,,,,
18.00,0.25,0.040,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 233,,,,
18.00,0.30,0.040,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 239,,,,
18.00,0.30,0.040,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 240,,,,
18.00,0.30,0.040,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 245,,,,
18.01,0.26,0.040,CMD,2015MNRAS.453.3190B,"SMC-LMC bridge star cluster NGC 0796, template",,,,
18.04,0.28,0.041,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster NGC 0796,,,,
18.20,0.30,0.044,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 232,,,,
18.20,0.30,0.044,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 235,,,,
18.20,0.30,0.044,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster ICA 18,,,,
18.30,0.30,0.046,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster WG8,,,,
18.40,0.25,0.048,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster BS 223,,,,
18.40,0.30,0.048,CMD,2015MNRAS.453.3190B,SMC-LMC bridge star cluster WG13,,,,
18.50,0.12,0.050,CMD,2008AJ....136.1703G,NGC 0419,,,,
18.64,0.14,0.053,CMD,2014A&A...561A.106D,Lindsay 3,,,,
18.68,0.14,0.054,CMD,2014A&A...561A.106D,Lindsay 2,,,,
18.70,,0.055,CMD,1987AJ.....93.1070G,,,,,
18.70,,0.055,CMD,2009AJ....137.3668C,NGC 0602,,,,
18.74,,0.056,CMD,2011AJ....142..103B,,,,,
18.77,,0.057,CMD,2012ApJ...754..130C,"SFH1, Bologna",,,,
18.80,,0.058,CMD,1986ApJ...305..214D,NGC 0411,,,,
18.80,,0.058,CMD,2012ApJ...754..130C,"SFH4, Bologna",,,,
18.80,,0.058,CMD,2014MNRAS.442.1897R,NGC 0419,,,,
18.81,,0.058,CMD,2013ApJ...775...83C,"SFH9 Wing, Bologna",,,,
18.82,0.03,0.058,CMD,2014ApJ...797...35G,NGC 0411,,,,
18.83,,0.058,CMD,2012ApJ...754..130C,"SFH1, Cole",,,,
18.83,,0.058,CMD,2013ApJ...775...83C,"SFH10 Intermediate, Bologna",,,,
18.84,0.16,0.059,CMD,2014A&A...561A.106D,HW1,,,,
18.85,,0.059,CMD,2012ApJ...754..130C,"SFH4, Cole",,,,
